percent pertubation_type Round CV AUC AUPR
0.25 network Round--5 CV--1 0.84989 0.68792
0.25 network Round--5 CV--2 0.84660 0.65689
0.25 network Round--5 CV--3 0.86131 0.73015
0.25 network Round--5 CV--4 0.84078 0.67569
0.25 network Round--5 CV--5 0.79199 0.52952
0.25 network Round--6 CV--1 0.84959 0.69331
0.25 network Round--6 CV--2 0.85975 0.69560
0.25 network Round--6 CV--3 0.85120 0.69265
0.25 network Round--6 CV--4 0.85752 0.71984
0.25 network Round--6 CV--5 0.83800 0.70050
0.25 network Round--7 CV--1 0.79178 0.53176
0.25 network Round--7 CV--2 0.81804 0.52793
0.25 network Round--7 CV--3 0.85464 0.69163
0.25 network Round--7 CV--4 0.81582 0.54510
0.25 network Round--7 CV--5 0.84850 0.66948
0.25 network Round--8 CV--1 0.84496 0.71991
0.25 network Round--8 CV--2 0.75798 0.43594
0.25 network Round--8 CV--3 0.78932 0.50749
0.25 network Round--8 CV--4 0.85392 0.70389
0.25 network Round--8 CV--5 0.78391 0.50491
0.25 network Round--9 CV--1 0.86734 0.72078
0.25 network Round--9 CV--2 0.84427 0.68258
0.25 network Round--9 CV--3 0.85878 0.71810
0.25 network Round--9 CV--4 0.85040 0.67643
0.25 network Round--9 CV--5 0.85551 0.69270
0 network Round--0 CV--1 0.88363 0.73763
0 network Round--0 CV--2 0.89260 0.76241
0 network Round--0 CV--3 0.91481 0.78494
0 network Round--0 CV--4 0.86216 0.64143
0 network Round--0 CV--5 0.83212 0.50088
0 network Round--1 CV--1 0.83785 0.57858
0 network Round--1 CV--2 0.87649 0.72628
0 network Round--1 CV--3 0.89408 0.75542
0 network Round--1 CV--4 0.85157 0.61891
0 network Round--1 CV--5 0.85562 0.60581
0 network Round--2 CV--1 0.88618 0.74192
0 network Round--2 CV--2 0.84572 0.57686
0 network Round--2 CV--3 0.90514 0.78326
0 network Round--2 CV--4 0.89635 0.77286
0 network Round--2 CV--5 0.86295 0.59739
0 network Round--3 CV--1 0.89341 0.75052
0 network Round--3 CV--2 0.84562 0.50781
0 network Round--3 CV--3 0.90428 0.78184
0 network Round--3 CV--4 0.89536 0.76228
0 network Round--3 CV--5 0.83702 0.57587
0 network Round--4 CV--1 0.89539 0.77770
0 network Round--4 CV--2 0.85765 0.63241
0 network Round--4 CV--3 0.82475 0.58116
0 network Round--4 CV--4 0.83447 0.58986
0 network Round--4 CV--5 0.83378 0.57458
0 network Round--5 CV--1 0.83558 0.60125
0 network Round--5 CV--2 0.84447 0.58553
0 network Round--5 CV--3 0.85880 0.60936
0 network Round--5 CV--4 0.83481 0.59145
0 network Round--5 CV--5 0.89212 0.76581
0 network Round--6 CV--1 0.84175 0.58721
0 network Round--6 CV--2 0.85687 0.59561
0 network Round--6 CV--3 0.84349 0.56938
0 network Round--6 CV--4 0.88881 0.75258
0 network Round--6 CV--5 0.85330 0.63526
0 network Round--7 CV--1 0.87161 0.73516
0 network Round--7 CV--2 0.89598 0.75465
0 network Round--7 CV--3 0.88738 0.75735
0 network Round--7 CV--4 0.84625 0.59414
0 network Round--7 CV--5 0.88297 0.72404
0 network Round--8 CV--1 0.88275 0.76606
0 network Round--8 CV--2 0.86502 0.73404
