nodes edges methods memory_usage avg_epoch_time
20000 600000 MTGCN 5.53711 1.0575621604919434
20000 600000 SVM 0.0332031 10.623324871063232
20000 800000 EMOGI 5.671880000000001 0.1462949299812317
20000 800000 GAT 7.43359 0.14532521605491638
20000 800000 GCN 5.59961 0.11711497664451599
20000 800000 MTGCN 9.1543 1.4080719470977783
20000 800000 SVM 0.0390625 10.317384719848633
25000 1000000 EMOGI 7.078119999999999 0.18258921265602113
25000 1000000 GAT 9.29102 0.1793207347393036
25000 1000000 GCN 6.982419999999999 0.14497957706451417
25000 1000000 MTGCN 6.111330000000001 1.7773726463317872
25000 1000000 SVM 0.0488281 16.173304080963135
25000 1200000 GCN 8.3457 0.17060722589492797
25000 1200000 MTGCN 7.30859 2.1190550565719604
25000 1200000 SVM 0.0546875 15.065097570419312
25000 1400000 MTGCN 8.45898 2.552613615989685
25000 1400000 SVM 0.06054690000000001 15.559908628463745
25000 1600000 SVM 0.0664062 15.208962678909302
25000 1800000 SVM 0.07226560000000001 15.149715662002563
25000 2000000 SVM 0.078125 15.618861198425293
25000 200000 EMOGI 1.63086 0.05584402203559875
25000 200000 GAT 2.0488299999999997 0.0574814784526825
25000 200000 GCN 1.5625 0.04518347144126892
25000 200000 MTGCN 2.13672 0.4788679599761963
25000 200000 SVM 0.0371094 15.343610525131226
25000 3000000 SVM 0.107422 16.287359714508057
25000 400000 EMOGI 2.9863299999999997 0.087872976064682
25000 400000 GAT 3.8515599999999997 0.08704006791114807
25000 400000 GCN 2.9121099999999998 0.06993372917175293
25000 400000 MTGCN 3.85742 0.7885971546173096
25000 400000 SVM 0.03125 16.16435980796814
25000 600000 EMOGI 4.357419999999999 0.1193260657787323
25000 600000 GAT 5.6582 0.1180246388912201
25000 600000 GCN 4.277340000000001 0.09541769862174988
25000 600000 MTGCN 5.6054699999999995 1.0842666625976562
25000 600000 SVM 0.0371094 16.036914348602295
25000 800000 EMOGI 5.74414 0.15172658681869508
25000 800000 GAT 7.45898 0.1475311303138733
25000 800000 GCN 5.6367199999999995 0.12048796176910401
25000 800000 MTGCN 7.33789 1.4476320028305054
25000 800000 SVM 0.0429688 15.479090690612793
30000 1000000 EMOGI 7.148439999999999 0.18609245300292968
30000 1000000 GAT 9.32422 0.18199723601341247
30000 1000000 GCN 7.044919999999999 0.14779463529586792
30000 1000000 MTGCN 9.16797 1.7207890033721924
30000 1000000 SVM 0.0507812 20.65514302253723
30000 1200000 GCN 8.37305 0.17260611057281494
30000 1200000 MTGCN 7.35352 2.0642168045043947
30000 1200000 SVM 0.05664059999999999 21.75280237197876
30000 1400000 MTGCN 8.48633 2.4599328994750977
30000 1400000 SVM 0.0625 20.580609798431396
30000 1600000 SVM 0.06835939999999999 20.26474356651306
30000 1800000 SVM 0.0742188 20.418423891067505
30000 2000000 SVM 0.08007810000000001 21.57277774810791
30000 200000 EMOGI 1.67773 0.05930939316749573
30000 200000 GAT 2.09375 0.06000420570373535
30000 200000 GCN 1.5957 0.04686051726341248
30000 200000 MTGCN 2.19922 0.46985087394714353
30000 200000 SVM 0.0390625 20.4821834564209
30000 3000000 SVM 0.109375 20.49841570854187
30000 400000 EMOGI 3.0488299999999997 0.08939133524894714
30000 400000 GAT 3.88867 0.08928565859794617
30000 400000 GCN 2.93945 0.07174131512641907
30000 400000 MTGCN 3.9277300000000004 0.7640818119049072
30000 400000 SVM 0.0332031 20.514085054397583
30000 600000 EMOGI 4.39844 0.12188818454742431
30000 600000 GAT 5.683590000000001 0.11949079990386963
30000 600000 GCN 4.31055 0.09703815698623658
