filename,batch_size,size,mem_avg,epoch_time_avg,gpu_used_reserved_avg,num_epochs
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log2_size_120_100_40,16384,120_100_40,0.6166661262512207,4.498325848579407,0.798046875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log2_size_60_50_20,8192,60_50_20,0.5412755012512207,4.216619229316711,0.72265625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log2_size_3840_3200_1280,524288,3840_3200_1280,0.6336583137512207,4.5947668075561525,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log2_size_1920_1600_640,32768,1920_1600_640,0.6336583137512207,4.615525197982788,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log2_size_480_400_160,65536,480_400_160,0.6336583137512207,4.613399863243103,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log2_size_240_200_80,524288,240_200_80,0.6336583137512207,4.59839768409729,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_262144.log2_size_240_200_80,262144,240_200_80,0.6336583137512207,4.628995203971863,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log2_size_120_100_40,131072,120_100_40,0.6272130012512207,4.520586276054383,0.80859375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log2_size_480_400_160,2048,480_400_160,0.5832676887512207,4.913159799575806,0.7646484375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log2_size_7680_6400_2560,524288,7680_6400_2560,0.6336583137512207,4.6204983472824095,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log2_size_1920_1600_640,524288,1920_1600_640,0.6336583137512207,4.619744491577149,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log2_size_960_800_320,32768,960_800_320,0.6336583137512207,4.595854783058167,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log2_size_30_25_10,65536,30_25_10,0.5041661262512207,4.1183325290679935,0.685546875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log2_size_480_400_160,8192,480_400_160,0.5822911262512207,4.520849418640137,0.763671875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log2_size_960_800_320,524288,960_800_320,0.6336583137512207,4.594920873641968,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log2_size_3840_3200_1280,131072,3840_3200_1280,0.6336583137512207,4.590667724609375,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log2_size_480_400_160,16384,480_400_160,0.6459630012512207,4.616939949989319,0.82734375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log2_size_960_800_320,1024,960_800_320,0.5774083137512207,5.589405655860901,0.7587890625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log2_size_480_400_160,1024,480_400_160,0.5774083137512207,5.567291355133056,0.7587890625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log2_size_120_100_40,2048,120_100_40,0.5559239387512207,4.7403507947921755,0.7373046875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log2_size_120_100_40,32768,120_100_40,0.6272130012512207,4.498243498802185,0.80859375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log2_size_3840_3200_1280,65536,3840_3200_1280,0.6336583137512207,4.627906775474548,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log2_size_1920_1600_640,16384,1920_1600_640,0.6459630012512207,4.645233583450318,0.82734375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log2_size_1920_1600_640,8192,1920_1600_640,0.5822911262512207,4.5805713653564455,0.763671875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log2_size_30_25_10,32768,30_25_10,0.5041661262512207,4.102798175811768,0.685546875,10
