percent pertubation_type Round CV AUC AUPR
1 feature Round--7 CV--2 0.76462 0.49499
1 feature Round--7 CV--3 0.76829 0.53505
1 feature Round--7 CV--4 0.71524 0.40654
1 feature Round--7 CV--5 0.71356 0.41228
1 feature Round--8 CV--1 0.77002 0.51935
1 feature Round--8 CV--2 0.75751 0.52108
1 feature Round--8 CV--3 0.74763 0.50226
1 feature Round--8 CV--4 0.73486 0.46438
1 feature Round--8 CV--5 0.76115 0.51298
1 feature Round--9 CV--1 0.80420 0.54169
1 feature Round--9 CV--2 0.74950 0.46410
1 feature Round--9 CV--3 0.76199 0.54666
1 feature Round--9 CV--4 0.74597 0.47793
1 feature Round--9 CV--5 0.74304 0.48360
0.75 feature Round--0 CV--1 0.85770 0.66323
0.75 feature Round--0 CV--2 0.85396 0.68306
0.75 feature Round--0 CV--3 0.82663 0.66046
0.75 feature Round--0 CV--4 0.86278 0.70200
0.75 feature Round--0 CV--5 0.83589 0.65931
0.75 feature Round--1 CV--1 0.82079 0.62358
0.75 feature Round--1 CV--2 0.82230 0.61224
0.75 feature Round--1 CV--3 0.81492 0.58384
0.75 feature Round--1 CV--4 0.80478 0.56664
0.75 feature Round--1 CV--5 0.84732 0.65964
0.75 feature Round--2 CV--1 0.82522 0.64056
0.75 feature Round--2 CV--2 0.83198 0.63729
0.75 feature Round--2 CV--3 0.84845 0.67068
0.75 feature Round--2 CV--4 0.83910 0.65015
0.75 feature Round--2 CV--5 0.85704 0.69338
0.75 feature Round--3 CV--1 0.82106 0.61203
0.75 feature Round--3 CV--2 0.82830 0.64662
0.75 feature Round--3 CV--3 0.86435 0.69665
0.75 feature Round--3 CV--4 0.85449 0.67611
0.75 feature Round--3 CV--5 0.82981 0.63108
0.75 feature Round--4 CV--1 0.83352 0.64304
0.75 feature Round--4 CV--2 0.85997 0.67642
0.75 feature Round--4 CV--3 0.81655 0.61500
0.75 feature Round--4 CV--4 0.81710 0.61333
0.75 feature Round--4 CV--5 0.84390 0.67385
0.75 feature Round--5 CV--1 0.83624 0.64539
0.75 feature Round--5 CV--2 0.84003 0.63718
0.75 feature Round--5 CV--3 0.84823 0.68138
0.75 feature Round--5 CV--4 0.82615 0.64940
0.75 feature Round--5 CV--5 0.84065 0.66130
0.75 feature Round--6 CV--1 0.83298 0.63978
0.75 feature Round--6 CV--2 0.83915 0.64816
0.75 feature Round--6 CV--3 0.82774 0.63632
0.75 feature Round--6 CV--4 0.84515 0.68689
0.75 feature Round--6 CV--5 0.83088 0.65524
0.75 feature Round--7 CV--1 0.83694 0.68011
0.75 feature Round--7 CV--2 0.84124 0.64023
0.75 feature Round--7 CV--3 0.84338 0.65409
0.75 feature Round--7 CV--4 0.84077 0.65550
0.75 feature Round--7 CV--5 0.80798 0.59195
0.75 feature Round--8 CV--1 0.85040 0.69768
0.75 feature Round--8 CV--2 0.81816 0.63875
0.75 feature Round--8 CV--3 0.81409 0.62723
0.75 feature Round--8 CV--4 0.83798 0.62095
0.75 feature Round--8 CV--5 0.85303 0.67547
0.75 feature Round--9 CV--1 0.82804 0.61759
0.75 feature Round--9 CV--2 0.83236 0.64493
0.75 feature Round--9 CV--3 0.83618 0.66879
0.75 feature Round--9 CV--4 0.83685 0.64057
0.75 feature Round--9 CV--5 0.82359 0.61857
0.5 feature Round--0 CV--1 0.86159 0.69327
0.5 feature Round--0 CV--2 0.85699 0.70442
0.5 feature Round--0 CV--3 0.86880 0.70531
0.5 feature Round--0 CV--4 0.88173 0.74541
0.5 feature Round--0 CV--5 0.85346 0.67350
0.5 feature Round--1 CV--1 0.83698 0.66673
0.5 feature Round--1 CV--2 0.85287 0.67076
0.5 feature Round--1 CV--3 0.85723 0.66268
0.5 feature Round--1 CV--4 0.84979 0.67744
0.5 feature Round--1 CV--5 0.87578 0.72021
0.5 feature Round--2 CV--1 0.84534 0.66785
0.5 feature Round--2 CV--2 0.87995 0.73737
0.5 feature Round--2 CV--3 0.86573 0.70508
0.5 feature Round--2 CV--4 0.87037 0.70619
0.5 feature Round--2 CV--5 0.86326 0.71476
0.5 feature Round--3 CV--1 0.85569 0.64988
0.5 feature Round--3 CV--2 0.86005 0.68587
0.5 feature Round--3 CV--3 0.87744 0.73020
0.5 feature Round--3 CV--4 0.87080 0.70720
0.5 feature Round--3 CV--5 0.87182 0.69940
0.5 feature Round--4 CV--1 0.87805 0.73459
0.5 feature Round--4 CV--2 0.87500 0.71672
0.5 feature Round--4 CV--3 0.85175 0.70163
0.5 feature Round--4 CV--4 0.84108 0.68001
0.5 feature Round--4 CV--5 0.86188 0.70047
0.5 feature Round--5 CV--1 0.84840 0.67685
0.5 feature Round--5 CV--2 0.86064 0.66958
0.5 feature Round--5 CV--3 0.87155 0.73562
0.5 feature Round--5 CV--4 0.84589 0.68519
0.5 feature Round--5 CV--5 0.87567 0.73135
0.5 feature Round--6 CV--1 0.85830 0.69445
0.5 feature Round--6 CV--2 0.87038 0.70225
0.5 feature Round--6 CV--3 0.87213 0.70373
0.5 feature Round--6 CV--4 0.86376 0.70342
0.5 feature Round--6 CV--5 0.85789 0.68857
0.5 feature Round--7 CV--1 0.84696 0.69329
0.5 feature Round--7 CV--2 0.87193 0.70421
0.5 feature Round--7 CV--3 0.85537 0.69620
0.5 feature Round--7 CV--4 0.86309 0.69986
0.5 feature Round--7 CV--5 0.85578 0.67596
0.5 feature Round--8 CV--1 0.87294 0.73210
0.5 feature Round--8 CV--2 0.86282 0.71453
0.5 feature Round--8 CV--3 0.85070 0.68824
0.5 feature Round--8 CV--4 0.87546 0.70736
0.5 feature Round--8 CV--5 0.86182 0.70874
0.5 feature Round--9 CV--1 0.87050 0.71215
0.5 feature Round--9 CV--2 0.85947 0.70171
0.5 feature Round--9 CV--3 0.85772 0.71655
0.5 feature Round--9 CV--4 0.87237 0.69691
0.5 feature Round--9 CV--5 0.84483 0.66907
0.25 feature Round--0 CV--1 0.87899 0.72705
0.25 feature Round--0 CV--2 0.90253 0.77396
0.25 feature Round--0 CV--3 0.90099 0.76590
0.25 feature Round--0 CV--4 0.89850 0.76691
0.25 feature Round--0 CV--5 0.86983 0.72426
0.25 feature Round--1 CV--1 0.88303 0.74347
0.25 feature Round--1 CV--2 0.87796 0.71664
0.25 feature Round--1 CV--3 0.88962 0.72576
0.25 feature Round--1 CV--4 0.88540 0.72715
0.25 feature Round--1 CV--5 0.89614 0.76020
0.25 feature Round--2 CV--1 0.88165 0.72339
0.25 feature Round--2 CV--2 0.89289 0.74493
0.25 feature Round--2 CV--3 0.89252 0.74978
0.25 feature Round--2 CV--4 0.89763 0.76650
0.25 feature Round--2 CV--5 0.90879 0.78621
0.25 feature Round--3 CV--1 0.88279 0.71532
0.25 feature Round--3 CV--2 0.88526 0.73173
0.25 feature Round--3 CV--3 0.90140 0.76755
0.25 feature Round--3 CV--4 0.89731 0.75039
0.25 feature Round--3 CV--5 0.88761 0.72671
0.25 feature Round--4 CV--1 0.89089 0.74861
0.25 feature Round--4 CV--2 0.88773 0.74464
0.25 feature Round--4 CV--3 0.86811 0.72574
0.25 feature Round--4 CV--4 0.86629 0.71351
0.25 feature Round--4 CV--5 0.89286 0.74616
0.25 feature Round--5 CV--1 0.87622 0.71176
0.25 feature Round--5 CV--2 0.87447 0.70916
0.25 feature Round--5 CV--3 0.89574 0.78054
0.25 feature Round--5 CV--4 0.86851 0.72341
0.25 feature Round--5 CV--5 0.89413 0.76969
0.25 feature Round--6 CV--1 0.87666 0.71456
0.25 feature Round--6 CV--2 0.90006 0.75272
0.25 feature Round--6 CV--3 0.89567 0.74396
0.25 feature Round--6 CV--4 0.88224 0.74001
