filename,batch_size,size,mem_avg,epoch_time_avg,gpu_used_reserved_avg,num_epochs
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log6_size_480_400_160,8192,480_400_160,0.3274211883544922,4.083062744140625,0.380859375,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log9_size_3840_3200_1280,4096,3840_3200_1280,0.2981243133544922,4.176252841949463,0.3515625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log9_size_3840_3200_1280,2048,3840_3200_1280,0.3201946258544922,4.3984610080719,0.3736328125,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log8_size_1920_1600_640,16384,1920_1600_640,0.4035930633544922,4.181207966804505,0.45703125,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log7_size_960_800_320,32768,960_800_320,0.3787883758544922,4.173854684829712,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log3_size_60_50_20,2048,60_50_20,0.2998040008544922,4.10617660522461,0.3532421875,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log2_size_30_25_10,4096,30_25_10,0.2239055633544922,3.852453112602234,0.27734375,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log4_size_120_100_40,2048,120_100_40,0.2998040008544922,4.143739542961121,0.3532421875,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log6_size_480_400_160,32768,480_400_160,0.3787883758544922,4.1610180854797365,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log3_size_60_50_20,16384,60_50_20,0.3789836883544922,3.953287663459778,0.432421875,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log9_size_3840_3200_1280,32768,3840_3200_1280,0.3787883758544922,4.2294296503067015,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_262144.log4_size_120_100_40,262144,120_100_40,0.3770305633544922,4.003394403457642,0.43046875,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log6_size_480_400_160,1024,480_400_160,0.32781181335449217,4.934381532669067,0.38125,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log3_size_60_50_20,4096,60_50_20,0.2922649383544922,3.904133505821228,0.345703125,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log2_size_30_25_10,16384,30_25_10,0.2492961883544922,3.924622321128845,0.302734375,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log10_size_7680_6400_2560,131072,7680_6400_2560,0.3787883758544922,4.195276546478271,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log2_size_30_25_10,32768,30_25_10,0.2491008758544922,3.9532360553741457,0.3025390625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log5_size_240_200_80,524288,240_200_80,0.3787883758544922,4.119782447814941,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log3_size_60_50_20,1024,60_50_20,0.2997258758544922,4.553333778381347,0.3531640625,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log6_size_480_400_160,2048,480_400_160,0.3213176727294922,4.3330380618572235,0.374755859375,8
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log5_size_240_200_80,4096,240_200_80,0.3196086883544922,4.107982039451599,0.373046875,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log7_size_960_800_320,65536,960_800_320,0.3787883758544922,4.17622971534729,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_262144.log7_size_960_800_320,262144,960_800_320,0.3787883758544922,4.198326230049133,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log2_size_30_25_10,131072,30_25_10,0.2491008758544922,4.001789975166321,0.3025390625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log2_size_30_25_10,65536,30_25_10,0.2491008758544922,3.9885666370391846,0.3025390625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log6_size_480_400_160,131072,480_400_160,0.3787883758544922,4.14348566532135,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log5_size_240_200_80,131072,240_200_80,0.3787883758544922,4.137241864204407,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log5_size_240_200_80,8192,240_200_80,0.3235149383544922,4.039153575897217,0.376953125,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log7_size_960_800_320,4096,960_800_320,0.2981243133544922,4.170088219642639,0.3515625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log8_size_1920_1600_640,4096,1920_1600_640,0.2981243133544922,4.1916351318359375,0.3515625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log3_size_60_50_20,8192,60_50_20,0.3000774383544922,3.869843592643738,0.353515625,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log6_size_480_400_160,65536,480_400_160,0.3787883758544922,4.147351789474487,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log8_size_1920_1600_640,65536,1920_1600_640,0.3787883758544922,4.160516738891602,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log10_size_7680_6400_2560,32768,7680_6400_2560,0.3787883758544922,4.203106188774109,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log4_size_120_100_40,8192,120_100_40,0.3000774383544922,3.8784294366836547,0.353515625,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log2_size_30_25_10,2048,30_25_10,0.22898368835449218,3.920255732536316,0.282421875,10
