ERBB2IP PKP4
ARHGEF11 PLXNB2
PLXNB2 RND1
GRHPR LSM1
COPG1 COPG2
HGS VPS37C
AKAP3 GNA13
GAB1 GRAP2
CCNDBP1 GRAP2
ANAPC5 PABPC1
EED ITGAE
TOLLIP TOM1
TNIP1 TTF2
DCP1A TTF2
PDCD6IP TTF2
PRDX4 TTF2
CLPB TTF2
TACC3 TTF2
NAGK STK16
ABI1 NCKAP1
GADD45G GADD45GIP1
PACSIN2 PACSIN3
SPTBN2 UNC13B
KCNJ1 SLC9A3R1
ARHGEF7 SHANK1
GSK3B UPF3A
NBL1 UBQLN1
P4HB UBQLN1
EEA1 RAB22A
DMAP1 URI1
CNKSR1 RASSF1
MVP PARP4
EED HDAC2
DISC1 FEZ1
BOK MCL1
ADAM15 SNX9
RNF216 TLR9
RAB11A RAB11FIP4
IFITM2 UPF3A
GOPC RHOQ
EXOC7 RHOQ
PBLD STRAP
TOLLIP XRN2
ABI3 ABI3BP
MCRS1 PINX1
PACSIN1 PACSIN3
TXNIP ZBTB32
CSPG5 GOPC
ASIC3 GOPC
FHOD1 ZMYND8
HSH2D TNK2
IPO13 PAX6
PLCB1 TRPM7
OSTM1 RGS17
OSTM1 RGS20
CDC7 ORC6
AP4B1 AP4E1
CENPK SOX6
LSM1 VPS11
EXOSC8 LSM1
EXOSC6 LSM1
LSM1 N4BP1
LSM1 LSM2
LSM2 LSM8
LSM2 LSM3
LSM2 LSM7
LSM3 LSM7
LSM3 XRN2
LSM10 LSM3
LSM4 XRN1
LSM6 MCRS1
LSM6 POLD2
EXOSC8 LSM7
LSM7 RAB29
EXOSC6 LSM7
COL23A1 LSM8
DBF4 LSM8
KCTD3 LSM8
EXOSC6 LSM8
DCP1A LSM8
LSM8 THUMPD3
ECT2 PARD6A
LRPPRC MAP1S
CECR2 LRPPRC
HEBP2 LRPPRC
HSPB1 HSPB8
CCT5 XRN1
CCT5 THEG
GIT1 PPFIA1
PTPN11 SYNCRIP
NRBF2 RARA
RARA ZBTB16
MECR RARA
NPLOC4 UFD1L
ATF4 TRIB3
ARNT2 NPAS4
PARN SPATC1L
EXOSC5 SFPQ
NCOA2 THRB
NRBF2 THRB
GFI1 PIAS3
ITCH NEDD9
EED TGS1
DHDDS ND1
MYCBP MYCBPAP
FBLN5 LOXL1
MT2A PRKD1
NPR1 PRKG1
ND2 SRC
EPS15 RNF11
KCNJ1 SLC9A3R2
KCNB1 KCNG2
DIO2 USP33
CHD3 UBE2I
TOPORS UBE2I
CRY1 PER1
CRY1 PER2
ARNTL CRY1
PAWR THAP1
CHD3 SERBP1
HSF1 SYMPK
DTNB KIF5A
CDC7 MCM4
LMO4 RBBP8
CCNE1 CUL3
EPB41L2 FKBP2
EPB41L2 GRIA1
CTNND2 PDZD2
GNB5 GNG5
GNB5 GNG4
GNB5 GNG3
GNB5 GNG7
ARL6 ARL6IP5
PIKFYVE RABEPK
ARF3 GGA2
GGA2 SORT1
EXOSC6 EXOSC8
EXOSC6 EXOSC7
NSD1 ZNF496
ARHGAP18 MPP6
KNSTRN MPP6
EXOSC10 MPP6
MPP6 SNX9
MPP6 SKIV2L2
AATF MPP6
