percent pertubation_type Round CV AUC AUPR
0.25 network Round--7 CV--5 0.85941 0.67392
0.25 network Round--8 CV--1 0.85574 0.69799
0.25 network Round--8 CV--2 0.83193 0.66905
0.25 network Round--8 CV--3 0.84685 0.66476
0.25 network Round--8 CV--4 0.86023 0.68646
0.25 network Round--8 CV--5 0.85014 0.66970
0.25 network Round--9 CV--1 0.86471 0.70465
0.25 network Round--9 CV--2 0.84702 0.67807
0.25 network Round--9 CV--3 0.86135 0.70393
0.25 network Round--9 CV--4 0.85773 0.66490
0.25 network Round--9 CV--5 0.85332 0.67041
0 network Round--0 CV--1 0.87315 0.65316
0 network Round--0 CV--2 0.88112 0.65320
0 network Round--0 CV--3 0.90467 0.71629
0 network Round--0 CV--4 0.89614 0.70489
0 network Round--0 CV--5 0.86493 0.62604
0 network Round--1 CV--1 0.87965 0.70007
0 network Round--1 CV--2 0.87887 0.68325
0 network Round--1 CV--3 0.88732 0.67869
0 network Round--1 CV--4 0.88750 0.71405
0 network Round--1 CV--5 0.88874 0.67627
0 network Round--2 CV--1 0.87814 0.66750
0 network Round--2 CV--2 0.88634 0.69174
0 network Round--2 CV--3 0.88794 0.65815
0 network Round--2 CV--4 0.88346 0.65869
0 network Round--2 CV--5 0.89671 0.68485
0 network Round--3 CV--1 0.88478 0.65187
0 network Round--3 CV--2 0.88582 0.70428
0 network Round--3 CV--3 0.89556 0.64303
0 network Round--3 CV--4 0.88842 0.67978
0 network Round--3 CV--5 0.87605 0.66108
0 network Round--4 CV--1 0.88688 0.66008
0 network Round--4 CV--2 0.88922 0.68688
0 network Round--4 CV--3 0.87007 0.67929
0 network Round--4 CV--4 0.86214 0.68539
0 network Round--4 CV--5 0.87486 0.64476
0 network Round--5 CV--1 0.87150 0.64054
0 network Round--5 CV--2 0.86997 0.64651
0 network Round--5 CV--3 0.88137 0.65179
0 network Round--5 CV--4 0.86675 0.64821
0 network Round--5 CV--5 0.88822 0.69262
0 network Round--6 CV--1 0.87318 0.67325
0 network Round--6 CV--2 0.88549 0.67952
0 network Round--6 CV--3 0.88239 0.66591
0 network Round--6 CV--4 0.88004 0.65531
0 network Round--6 CV--5 0.88500 0.73966
0 network Round--7 CV--1 0.86581 0.67219
0 network Round--7 CV--2 0.88468 0.68443
0 network Round--7 CV--3 0.87913 0.67990
0 network Round--7 CV--4 0.88052 0.67325
0 network Round--7 CV--5 0.87597 0.65237
0 network Round--8 CV--1 0.87797 0.65419
0 network Round--8 CV--2 0.86321 0.64480
0 network Round--8 CV--3 0.86656 0.64098
