percent pertubation_type Round CV AUC AUPR
0 network Round--3 CV--2 0.89304 0.73915
0 network Round--3 CV--3 0.91607 0.79557
0 network Round--3 CV--4 0.90398 0.76693
0 network Round--3 CV--5 0.90293 0.74354
0 network Round--4 CV--1 0.91303 0.78986
0 network Round--4 CV--2 0.90913 0.77987
0 network Round--4 CV--3 0.89582 0.76271
0 network Round--4 CV--4 0.88209 0.73696
0 network Round--4 CV--5 0.90124 0.76110
0 network Round--5 CV--1 0.89297 0.74345
0 network Round--5 CV--2 0.89515 0.74851
0 network Round--5 CV--3 0.91459 0.80005
0 network Round--5 CV--4 0.88074 0.73895
0 network Round--5 CV--5 0.90966 0.78626
0 network Round--6 CV--1 0.89570 0.74978
0 network Round--6 CV--2 0.91332 0.77847
0 network Round--6 CV--3 0.90763 0.76436
0 network Round--6 CV--4 0.90251 0.77135
0 network Round--6 CV--5 0.89852 0.77698
0 network Round--7 CV--1 0.88634 0.76523
0 network Round--7 CV--2 0.91417 0.78641
0 network Round--7 CV--3 0.90416 0.78258
0 network Round--7 CV--4 0.89980 0.77831
0 network Round--7 CV--5 0.89771 0.75331
0 network Round--8 CV--1 0.90465 0.79701
0 network Round--8 CV--2 0.89932 0.77757
0 network Round--8 CV--3 0.88911 0.75669
0 network Round--8 CV--4 0.90228 0.76106
0 network Round--8 CV--5 0.90123 0.77929
0 network Round--9 CV--1 0.90658 0.79285
0 network Round--9 CV--2 0.89619 0.75822
0 network Round--9 CV--3 0.90266 0.78535
0 network Round--9 CV--4 0.90451 0.77122
0 network Round--9 CV--5 0.88986 0.76264
1 feature Round--0 CV--1 0.74629 0.46004
1 feature Round--0 CV--2 0.75233 0.46354
1 feature Round--0 CV--3 0.70618 0.41181
1 feature Round--0 CV--4 0.77401 0.49942
1 feature Round--0 CV--5 0.73052 0.44768
1 feature Round--1 CV--1 0.73670 0.46420
1 feature Round--1 CV--2 0.68773 0.38010
1 feature Round--1 CV--3 0.72193 0.42537
1 feature Round--1 CV--4 0.73816 0.45853
1 feature Round--1 CV--5 0.74811 0.47170
1 feature Round--2 CV--1 0.71770 0.42896
1 feature Round--2 CV--2 0.75967 0.47392
1 feature Round--2 CV--3 0.76247 0.51428
1 feature Round--2 CV--4 0.74224 0.45341
1 feature Round--2 CV--5 0.73193 0.45832
1 feature Round--3 CV--1 0.74546 0.45198
1 feature Round--3 CV--2 0.70783 0.41811
1 feature Round--3 CV--3 0.77762 0.50691
1 feature Round--3 CV--4 0.71664 0.43138
1 feature Round--3 CV--5 0.71828 0.42585
1 feature Round--4 CV--1 0.75020 0.45661
1 feature Round--4 CV--2 0.73633 0.41728
1 feature Round--4 CV--3 0.75034 0.48910
1 feature Round--4 CV--4 0.73678 0.44166
1 feature Round--4 CV--5 0.72975 0.44995
1 feature Round--5 CV--1 0.74824 0.48430
1 feature Round--5 CV--2 0.71902 0.41461
1 feature Round--5 CV--3 0.73098 0.44643
1 feature Round--5 CV--4 0.72704 0.44826
1 feature Round--5 CV--5 0.73773 0.41245
1 feature Round--6 CV--1 0.73642 0.43572
1 feature Round--6 CV--2 0.74254 0.48524
1 feature Round--6 CV--3 0.74820 0.43659
1 feature Round--6 CV--4 0.74843 0.49192
